"","V1","Efield_075","Efield_1","Efield_15"
"1","Optic Chiasm","0.1+-0.02","0.14+-0.03","0.21+-0.05"
"2","LGN","0.09+-0.01","0.11+-0.01","0.17+-0.02"
"3","Optic Nerve","0.05+-0.02","0.07+-0.03","0.11+-0.05"
"4","Optic tract","0.1+-0.02","0.13+-0.03","0.19+-0.04"
"5","Retina","0.01+-0.01","0.02+-0.01","0.02+-0.01"
"6","V1","0.19+-0.05","0.25+-0.06","0.37+-0.09"
